N,Departamento,Provincia,Municipio,Localidad,Observaciones
1,Beni,Marban,San Andrés,SAN ANDRES,
2,Beni,Marban,Loreto,LORETO,
3,Beni,Itenez,Magdalena,BELLA VISTA,Localidad con Fibra óptica hasta finales de 2020
4,Beni,ltenez,Baures,BAURES,Localidad con Fibra óptica hasta finales de 2020
5,Beni,ltenez,Huacaraje,HUACARAJE,Localidad con Fibra óptica hasta finales de 2020
6,Beni,Yacuma,Exaltacidn,EXALTACION,Localidad con Fibra óptica hasta finales de 2020
7,Beni,Mamore,Puerto Siles,PUERTO SILES,Localidad con Fibra óptica hasta finales de 2020
8,Chuquisaca,Tomina,Tomina,TOMINA,
9,Chuquisaca,Oropeza,Yotala,YOTALA,
10,Chuquisaca,Sud Cinti,Villa Abecia,VILLA ABECIA,
11,Chuquisaca,Yamparaez,Yamparaez,YAMPARAEZ,
12,Chuquisaca,Sud Cinti,Las Carreras,LAS CARRERAS,
13,Chuquisaca,Belisario Boeto,Villa Serrano,VILLA SERRANO,
14,Chuquisaca,Zudañez,Presto,PRESTO,
15,Chuquisaca,Sud Cinti,Culpina,CULPINA,
16,Chuquisaca,Nor Cinti,San Lucas,SAN LUCAS,
17,Chuquisaca,Tomina,Sopachuy,SOPACHUY,
18,Chuquisaca,Tomina,Villa Alcalâ,ALCALA,
19,Chuquisaca,Nor Cinti,Incahuasi,INCAHUASI,
20,Chuquisaca,Nor Cinti,Villa Charcas,VILLA CHARCAS,
21,Chuquisaca,Azurduy,Azurduy,AZURDUY,
22,Chuquisaca,Tomina,El Villar,EL VILLAR,
23,Chuquisaca,Azurduy,Tarvita,TARVITA,
24,Chuquisaca,Oropeza,Poroma,POROMA,
25,Chuquisaca,Zudañez,IcIa,ICLA,
26,Cochabamba,Punata,Punata,PUNATA,
27,Cochabamba,Quillacollo,Sipe Sipe,SIPE SIPE,
28,Cochabamba,German Jordan,Cliza,CLIZA,
29,Cochabamba,Campero,Aiquile,AIQUILE,
30,Cochabamba,Esteban Arce,Arbieto,ARBIETO,
31,Cochabamba,Punata,San Benito,SAN BENITO,
32,Cochabamba,Esteban Arce,Tarata,TARATA,
33,Cochabamba,Arani,Arani,ARANI,
34,Cochabamba,Mizque,Mizque,MIZQUE,
35,Cochabamba,Tiraque,Tiraque,TIRAQUE,
36,Cochabamba,Carrasco,Totora,TOTORA,
37,Cochabamba,Punata,Villa Rivero,VILLA RIVERO,
38,Cochabamba,German Jordan,Toko,TOKO,
39,Cochabamba,Punata,Tacachi,TACACHI,
40,Cochabamba,Arani,Vacas,VACAS,
41,Cochabamba,Punata,Cuchumuela,CUCHUMELA,
42,Cochabamba,Carrasco,Pojo,POJO,
43,Cochabamba,Capinota,Capinota,CAPINOTA,
44,Cochabamba,Esteban Arce,Anzaldo,ANZALDO,
45,Cochabamba,Carrasco,Pocona,POCONA,
46,Cochabamba,Mizque,Alalay,ALALAY,
47,Cochabamba,Capinota,Capinota,IRPA IRPA,
48,Cochabamba,German Jordan,Tolata,TOLATA,Localidad con Fibra óptica hasta finales de 2020
49,Cochabamba,Capinota,Sicaya,SICAYA,
50,Cochabamba,Mizque,Vila Vila,VILA VILA,
51,Cochabamba,Esteban Arce,Sacabamba,SACABAMBA,
52,Cochabamba,Arque,Tacopaya,TACOPAYA,
53,Cochabamba,Bollvar,Bolfvar,BOLIVAR,
54,Cochabamba,Arque,Arque,ARQUE,
55,LaPaz,Larecaja,Tipuani,TIPUANI,Localidad con Fibra óptica hasta finales de 2020
56,LaPaz,Omasuyos,Achacachi,ACHACACHI,
57,LaPaz,Manco Kapac,Copacabana,COPACABANA,
58,LaPaz,Manco Kapac,Tito Yupanqui,TITO YUPANQUI,
59,LaPaz,Aroma,Sica Sica,SICA SICA,
60,LaPaz,Aroma,Colquencha,COLQUENCHA,
61,LaPaz,Larecaja,Sorata,SORATA,
62,LaPaz,Los Andes,Batallas,BATALLAS,
63,LaPaz,Aroma,Collana,COLLANA,
64,LaPaz,Omasuyos,Huarina,HUARINA,
65,LaPaz,Aroma,Calamarca,CALAMARCA,
66,LaPaz,Camacho,Puerto Acosta,PUERTO ACOSTA,
67,LaPaz,Los Andes,Pucarani,PUCARANI,
68,LaPaz,Camacho,Escoma,ESCOMA,
69,LaPaz,Omasuyos,Chua Cocani,CHUA COCANI,
70,LaPaz,Los Andes,Laja,LAJA,
71,LaPaz,Ingavi,Guaqui,GUAQUI,
72,LaPaz,Aroma,Ayo Ayo,AYO AYO,
73,LaPaz,Manco Kapac,San Pedro de Tiquina,SAN PEDRO DE TIQUINA,
74,LaPaz,Omasuyos,Ancoraimes,ANCORAIMES,
75,LaPaz,Los Andes,Puerto Pérez,PUERTO PEREZ,
76,LaPaz,Camacho,Pto. Carabuco,PUERTO CARABUCO,
77,LaPaz,Omasuyos,Huatajata,HUATAJATA,
78,LaPaz,Omasuyos,Santiago de Huata,SANTIAGO DE HUATA,
79,LaPaz,Aroma,Umala,UMALA,
80,LaPaz,Pacajes,Callapa,CENTRO POBLADO SANTIAGO DE CALLAPA,
81,LaPaz,Aroma,Sica Sica,LAHUACHACA,
82,LaPaz,Abel Iturralde,Ixiamas,IXIAMAS,Localidad con Fibra óptica hasta finales de 2020
83,LaPaz,Bautista Saavedra,Charazani,AMARETE,
84,LaPaz,Inquisivi,Quime,QUIME,
85,LaPaz,Abel Iturralde,San Buenaventura,SAN BUENAVENTURA,
86,LaPaz,Nor Yungas,Coroico,COROICO,
87,LaPaz,Sud Yungas,La Asunta,LA ASUNTA,
88,LaPaz,Aroma,Sica Sica,CALA CALA,
89,LaPaz,Sud Yungas,Chulumani,CHULUMANI,
90,LaPaz,Pacajes,Waldo Ballivian,TUMARAPI,
91,LaPaz,Sud Yungas,Irupana,IRUPANA,
92,LaPaz,Pacajes,Coro Coro,CORO CORO,
93,LaPaz,Inquisivi,Villa Libertad Licoma,VILLA LIBERTAD LICOMA,
94,LaPaz,Loayza,Malla,MALLA,
95,LaPaz,Inquisivi,Ichoca,ICHOCA,
96,LaPaz,Nor Yungas,Coripata,CORIPATA,
97,LaPaz,Inquisivi,Cajuata,CAJUATA,
98,LaPaz,Pacajes,Charaña,CHARANA,
99,LaPaz,Bautista Saavedra,Curva,CURVA,
100,LaPaz,Murillo,Mecapaca,MECAPACA,
