iter	Passed	Remaining
0	49	49723
1	52	25989
2	54	18080
3	56	14011
4	58	11558
5	60	10045
6	61	8774
7	63	7862
8	65	7178
9	66	6630
10	68	6181
11	70	5802
12	72	5489
13	74	5215
14	75	4982
15	77	4748
16	79	4593
17	81	4430
18	82	4281
19	84	4137
20	86	4015
21	88	3918
22	89	3820
23	91	3707
24	92	3622
25	94	3543
26	96	3472
27	98	3413
28	99	3345
29	101	3269
30	102	3208
31	103	3145
32	105	3088
33	106	3023
34	107	2970
35	109	2927
36	110	2884
37	112	2840
38	113	2798
39	115	2761
40	116	2727
41	118	2692
42	119	2660
43	121	2632
44	122	2601
45	124	2572
46	125	2545
47	126	2516
48	128	2491
49	129	2463
50	131	2439
51	132	2416
52	133	2392
53	135	2370
54	136	2348
55	137	2318
56	139	2301
57	140	2283
58	142	2265
59	143	2242
60	145	2234
61	147	2225
62	148	2214
63	150	2203
64	152	2192
65	154	2181
66	155	2164
67	157	2153
68	158	2142
69	160	2131
70	161	2118
71	163	2112
72	165	2104
73	167	2097
74	168	2084
75	170	2077
76	172	2068
77	174	2060
78	176	2052
79	177	2043
80	179	2035
81	181	2027
82	182	2020
83	184	2013
84	186	2005
85	188	1998
86	190	1994
87	191	1987
88	193	1981
89	195	1975
90	197	1969
91	198	1960
92	200	1951
93	200	1936
94	202	1928
95	203	1919
96	205	1911
97	206	1904
98	208	1897
99	210	1890
100	211	1883
101	213	1876
102	214	1868
103	216	1861
104	217	1853
105	219	1847
106	220	1840
107	221	1833
108	223	1826
109	225	1821
110	226	1814
111	227	1803
112	228	1794
113	229	1787
114	231	1781
115	233	1775
116	233	1765
117	235	1759
118	236	1753
119	238	1747
120	239	1738
121	240	1733
122	242	1728
123	243	1722
124	245	1717
125	246	1711
126	247	1700
127	248	1695
128	250	1689
129	251	1680
130	252	1674
131	253	1667
132	254	1662
133	256	1656
134	257	1648
135	258	1641
136	259	1634
137	260	1627
138	261	1621
139	262	1614
140	263	1608
141	265	1601
142	266	1594
143	266	1586
144	267	1579
145	268	1571
146	269	1564
147	270	1556
148	271	1549
149	272	1541
150	272	1534
151	273	1526
152	274	1518
153	274	1509
154	275	1502
155	276	1494
156	276	1486
157	277	1479
158	278	1472
159	278	1464
160	279	1457
161	280	1449
162	280	1442
163	281	1435
164	282	1427
165	282	1420
166	283	1413
167	283	1405
168	284	1398
169	285	1391
170	285	1384
171	286	1377
172	286	1370
173	287	1363
174	287	1355
175	287	1348
176	288	1340
177	288	1333
178	289	1326
179	289	1319
180	290	1313
181	290	1306
182	291	1300
183	291	1293
184	292	1287
185	292	1280
186	293	1274
187	293	1268
188	294	1262
189	294	1255
190	295	1249
191	295	1243
192	296	1237
193	296	1231
194	296	1225
195	297	1219
196	297	1213
197	298	1208
198	298	1202
199	299	1196
200	299	1191
201	300	1185
202	300	1179
203	300	1174
204	301	1168
205	301	1163
206	302	1157
207	302	1152
208	303	1147
209	303	1141
210	303	1135
211	304	1130
212	304	1125
213	305	1120
214	305	1115
215	305	1110
216	306	1105
217	306	1100
218	307	1095
219	307	1090
220	308	1085
221	308	1080
222	308	1076
223	309	1070
224	309	1066
225	309	1061
226	310	1056
227	310	1051
228	311	1047
229	311	1042
230	311	1037
231	311	1032
232	312	1028
233	312	1023
234	313	1019
235	313	1014
236	313	1010
237	314	1005
238	314	1001
239	314	997
240	315	992
241	315	988
242	315	983
243	316	979
244	316	975
245	316	971
246	317	967
247	317	963
248	318	959
249	318	955
250	318	951
251	319	947
252	319	943
253	319	939
254	320	935
255	320	931
256	321	928
257	321	924
258	321	920
259	322	916
260	322	913
261	322	909
262	323	905
263	323	902
264	323	898
265	324	894
266	324	890
267	324	887
268	325	883
269	325	880
270	326	876
271	326	873
272	326	870
273	327	866
274	327	863
275	327	859
276	328	856
277	328	853
278	328	849
279	329	846
280	329	843
281	330	840
282	330	837
283	330	833
284	331	830
285	331	827
286	331	824
287	332	821
288	332	817
289	332	814
290	333	811
291	333	808
292	333	805
293	334	802
294	334	799
295	334	796
296	335	793
297	335	790
298	335	787
299	336	784
300	336	781
301	336	778
302	337	775
303	337	772
304	337	769
305	338	766
306	338	764
307	338	761
308	339	758
309	339	755
310	339	753
311	340	750
312	340	747
313	340	744
314	341	741
315	341	739
316	341	736
317	342	734
318	342	731
319	342	728
320	343	726
321	343	723
322	343	720
323	344	718
