iter	Passed	Remaining
0	47	47092
1	47	23896
2	48	16193
3	49	12317
4	50	9991
5	51	8498
6	52	7421
7	53	6597
8	54	5970
9	55	5531
10	57	5125
11	57	4770
12	58	4459
13	59	4197
14	60	3972
15	61	3774
16	62	3597
17	63	3447
18	64	3312
19	65	3206
20	66	3096
21	67	2993
22	68	2902
23	69	2818
24	70	2750
25	71	2679
26	72	2611
27	73	2549
28	74	2495
29	75	2437
30	76	2385
31	77	2336
32	78	2288
33	79	2257
34	80	2217
35	81	2179
36	82	2144
37	83	2109
38	84	2077
39	85	2047
40	86	2023
41	88	2023
42	89	1993
43	90	1963
44	91	1935
45	92	1911
46	93	1889
47	94	1871
48	95	1849
49	96	1828
50	97	1807
51	98	1788
52	99	1770
53	99	1751
54	100	1732
55	101	1713
56	102	1695
57	103	1678
58	104	1661
59	105	1647
60	105	1629
61	106	1607
62	108	1607
63	108	1593
64	109	1581
65	110	1567
66	111	1555
67	112	1544
68	113	1533
69	114	1525
70	115	1514
71	116	1504
72	117	1492
73	118	1480
74	119	1469
75	119	1457
76	120	1445
77	121	1435
78	122	1424
79	122	1413
80	123	1406
81	125	1400
82	125	1389
83	126	1380
84	127	1370
85	128	1360
86	128	1350
87	129	1340
88	129	1330
89	130	1321
90	131	1312
91	132	1303
92	132	1295
93	133	1286
94	134	1276
95	134	1267
96	135	1258
97	135	1249
98	136	1241
99	137	1233
100	137	1225
101	138	1216
102	138	1208
103	139	1200
104	139	1193
105	140	1185
106	141	1177
107	141	1170
108	142	1163
109	142	1156
110	143	1148
111	143	1140
112	145	1145
113	146	1138
114	147	1132
115	147	1125
116	148	1119
117	149	1114
118	149	1107
119	150	1100
120	150	1093
121	151	1087
122	151	1081
123	152	1075
124	152	1070
125	153	1065
126	154	1059
127	154	1053
128	155	1048
129	155	1043
130	156	1038
131	157	1033
132	157	1028
133	158	1023
134	158	1017
135	159	1012
136	159	1006
137	160	1001
138	160	996
139	161	990
140	161	986
141	162	981
142	162	976
143	163	971
144	164	967
145	164	962
146	164	957
147	165	952
148	165	947
149	166	943
150	166	938
151	167	934
152	167	929
153	168	924
154	168	920
155	169	915
156	169	912
157	170	907
158	170	903
159	171	898
160	171	894
161	172	890
162	172	885
163	172	881
164	173	877
165	174	877
166	175	873
167	175	869
168	176	865
169	176	861
170	176	857
171	177	853
172	177	849
173	178	845
174	178	841
175	178	837
176	179	833
177	179	830
178	180	826
179	180	822
180	180	818
181	181	815
182	181	811
183	182	808
184	182	804
185	183	801
186	183	797
187	183	793
188	184	789
189	184	786
190	184	783
191	185	779
192	185	775
193	185	772
194	186	768
195	186	765
196	186	761
197	187	758
198	187	754
199	187	751
200	188	748
201	188	744
202	188	741
203	189	738
204	189	734
205	189	731
206	190	727
207	190	724
208	190	721
209	190	718
210	191	714
211	191	711
212	191	708
213	191	705
214	192	701
215	192	699
216	192	695
217	193	692
218	193	689
219	193	686
220	193	683
221	194	680
222	194	677
223	194	674
224	195	671
225	195	668
226	195	665
227	195	662
228	195	659
229	196	656
230	196	654
231	196	651
232	196	648
233	197	645
234	197	642
235	197	639
236	197	636
237	198	634
238	198	631
239	198	628
240	198	626
241	199	623
242	199	620
243	199	618
244	199	615
245	199	612
246	200	609
247	200	607
248	200	605
249	200	602
250	201	600
251	201	597
252	201	594
253	201	592
254	201	590
255	202	587
256	202	585
257	202	582
258	202	580
259	203	577
260	203	575
261	203	573
262	203	571
263	204	568
264	204	566
265	204	564
266	204	562
267	205	560
268	205	558
269	205	556
270	206	554
271	206	552
272	206	551
273	207	549
274	207	547
275	207	545
276	208	543
277	208	541
278	209	540
279	209	538
280	209	536
281	209	534
282	210	532
283	210	530
284	210	528
285	211	527
286	211	525
287	211	523
288	212	521
289	212	519
290	212	518
291	212	516
292	213	514
293	213	512
294	213	511
295	214	509
296	214	507
297	214	505
298	215	504
299	215	502
300	215	500
301	216	499
302	216	497
303	216	496
304	216	494
305	217	492
306	217	491
307	217	489
308	218	487
309	218	486
310	219	485
311	219	483
312	219	482
313	219	480
314	220	478
315	220	477
316	220	475
317	221	474
318	221	472
319	221	471
320	221	469
321	222	467
322	222	466
323	222	464
324	223	463
325	223	461
326	223	460
327	223	458
328	224	457
329	224	455
330	224	454
331	224	452
332	225	451
333	225	449
334	225	448
335	226	446
336	226	445
337	226	443
338	226	442
339	227	441
340	227	439
341	227	438
342	228	436
343	228	435
344	228	434
345	228	432
346	229	431
347	229	429
348	229	428
349	230	427
350	230	425
351	230	424
352	230	423
353	231	421
354	231	420
355	231	419
356	231	417
357	232	416
358	232	415
359	232	413
360	232	412
361	233	411
362	233	409
363	233	408
364	233	406
365	234	405
366	234	404
367	234	402
368	234	401
369	234	399
370	234	398
371	235	396
372	235	395
373	235	394
374	235	392
375	235	391
376	235	389
377	236	388
378	236	387
379	236	385
380	236	384
381	236	383
382	237	381
383	237	380
384	237	379
385	237	377
386	237	376
387	237	375
388	238	373
389	238	372
390	238	371
391	238	370
392	238	368
393	238	367
394	239	366
395	239	364
396	239	363
397	239	362
398	239	361
399	239	359
400	240	358
401	240	357
402	240	356
403	240	355
404	240	353
405	241	352
406	241	351
407	241	350
408	241	349
409	241	347
410	241	346
411	242	345
412	242	344
413	242	343
414	242	341
415	242	340
416	242	339
417	243	338
418	243	337
419	243	336
420	243	335
421	243	333
422	243	332
423	244	331
424	244	330
425	244	329
426	244	328
427	244	327
428	245	326
429	245	325
430	245	324
431	245	323
432	245	321
433	246	320
434	246	319
435	246	318
436	246	317
437	247	317
438	247	316
439	247	315
440	247	314
441	248	313
442	248	312
443	248	311
444	248	309
445	248	308
446	248	307
447	249	306
448	249	305
449	249	304
450	249	303
451	249	302
452	250	301
453	250	300
454	250	299
455	250	298
456	250	297
457	250	296
458	251	295
459	251	294
460	251	293
461	251	292
462	251	292
463	251	291
464	252	290
465	252	289
466	252	288
467	252	287
468	252	286
469	253	285
470	253	284
471	253	283
472	253	282
473	253	281
474	253	280
475	254	279
476	254	278
477	254	277
478	254	276
479	254	275
480	254	275
481	255	274
482	255	273
483	255	272
484	255	271
485	256	270
486	256	270
487	256	269
488	256	268
489	257	267
490	257	266
491	257	265
492	257	265
493	258	264
494	258	263
495	258	262
496	258	261
497	258	261
498	259	260
499	259	259
500	259	258
501	259	257
502	260	256
503	260	256
504	260	255
505	260	254
506	260	253
507	261	252
508	261	252
509	261	251
510	261	250
511	262	249
512	262	249
513	262	248
514	262	247
515	263	246
516	263	246
517	263	245
518	263	244
519	264	243
520	264	242
521	264	242
522	264	241
523	264	240
524	265	239
525	265	239
526	265	238
527	265	237
528	265	236
529	266	236
530	266	235
531	266	234
532	266	233
533	267	233
534	267	232
535	267	231
536	267	230
537	268	230
538	268	229
539	268	228
540	268	228
541	269	227
542	269	226
