N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA_Y_GRUPO_DE_EDAD,AÑO,Población_Total,Hombres,Mujeres,Tasa_Total,Tasa_Hombres,Tasa_Mujeres,Brecha
16,Departamento,Chuquisaca,,,Chuquisaca,2001,307121,146406,160715,73.0295225660245,81.6168736253979,65.2067324145226,16.4101412108753
16,Departamento,Chuquisaca,,,Chuquisaca,2012,380533,184393,196140,89.000428346556,93.1575493646722,85.0922810237586,8.06526834091365
16,Departamento,Chuquisaca,,,Chuquisaca,2024,439831,215162,224669,90.9481141620304,94.6733159200974,87.3805464928406,7.29276942725683
17,Departamento,Chuquisaca,,,15 a 24 ,2001,99047,48558,50489,93.6464506749321,96.3981218336834,91.0000198062945,5.39810202738897
17,Departamento,Chuquisaca,,,15 a 24 ,2012,115386,58034,57352,98.8828800721058,99.0126477582107,98.7515692565211,0.261078501689568
17,Departamento,Chuquisaca,,,15 a 24 ,2024,113349,57068,56281,99.3480313015554,99.3779350949744,99.3177093512908,0.0602257436835743
18,Departamento,Chuquisaca,,,25 a 39 ,2001,89692,42651,47041,83.2236988806137,90.949801880378,76.2186178014923,14.7311840788857
18,Departamento,Chuquisaca,,,25 a 39 ,2012,112242,55029,57213,95.6638335026104,97.5449308546403,93.8545435477951,3.6903873068452
18,Departamento,Chuquisaca,,,25 a 39 ,2024,134622,67059,67563,98.3843651112002,98.8428100627805,97.9293400233856,0.913470039394966
19,Departamento,Chuquisaca,,,40 a 59 ,2001,75195,35921,39274,58.3137176673981,72.8209125581136,45.0450679839079,27.7758445742057
19,Departamento,Chuquisaca,,,40 a 59 ,2012,93524,44852,48672,86.2698344809888,92.588959243735,80.4466633793557,12.1422958643793
19,Departamento,Chuquisaca,,,40 a 59 ,2024,117320,56955,60365,91.1430276167746,95.1049073830217,87.4049532013584,7.69995418166327
20,Departamento,Chuquisaca,,,60 o más ,2001,43187,19276,23911,30.1965869358835,40.1224320398423,22.1948057379449,17.9276263018974
20,Departamento,Chuquisaca,,,60 o más ,2012,59381,26478,32903,61.5028376079891,72.1693481380769,52.9191867003009,19.250161437776
20,Departamento,Chuquisaca,,,60 o más ,2024,74540,34080,40460,64.4378856989536,77.8697183098592,53.1240731586752,24.7456451511839
21,Departamento,Chuquisaca,,,Urbana,2001,139562,64650,74912,90.033820094295,94.9404485692189,85.7993378897907,9.1411106794282
21,Departamento,Chuquisaca,,,Urbana,2012,194715,90574,104141,95.2515214544334,97.7013270916599,93.1208649811314,4.58046211052852
21,Departamento,Chuquisaca,,,Urbana,2024,249019,117604,131415,95.7183989976668,98.0595898098704,93.6232545752007,4.43633523466971
22,Departamento,Chuquisaca,,,15 a 24 ,2001,54297,26027,28270,97.8451848168407,98.9933530564414,96.7881146091263,2.20523844731511
22,Departamento,Chuquisaca,,,15 a 24 ,2012,67074,32377,34697,99.5154605361243,99.6077462396145,99.4293454765542,0.178400763060381
22,Departamento,Chuquisaca,,,15 a 24 ,2024,68609,34057,34552,99.658936874171,99.6505857826585,99.6671683260014,-0.0165825433429063
23,Departamento,Chuquisaca,,,25 a 39 ,2001,42172,19559,22613,93.9438489993361,97.4640830308298,90.8990403750055,6.56504265582427
23,Departamento,Chuquisaca,,,25 a 39 ,2012,62373,29601,32772,97.8788899042855,99.0270598966251,96.8418161845478,2.18524371207734
23,Departamento,Chuquisaca,,,25 a 39 ,2024,83161,40073,43088,99.0680727744977,99.4335338008135,98.7281841812105,0.70534961960297
24,Departamento,Chuquisaca,,,40 a 59 ,2001,29048,13299,15749,83.6993941063068,91.751259493195,76.9001206425805,14.8511388506145
24,Departamento,Chuquisaca,,,40 a 59 ,2012,42184,19040,23144,93.4121941968519,96.9485294117647,90.5029381265123,6.44559128525245
24,Departamento,Chuquisaca,,,40 a 59 ,2024,63127,28915,34212,95.3712357628273,98.1704997406191,93.0053782298609,5.16512151075818
25,Departamento,Chuquisaca,,,60 o más ,2001,14045,5765,8280,61.1961552153791,75.4379878577624,51.280193236715,24.1577946210474
25,Departamento,Chuquisaca,,,60 o más ,2012,23084,9556,13528,79.1240686189569,88.6354123064044,72.4053814311059,16.2300308752985
25,Departamento,Chuquisaca,,,60 o más ,2024,34122,14559,19563,80.2737236973214,90.3358747166701,72.7853601185912,17.5505145980789
26,Departamento,Chuquisaca,,,Rural,2001,167559,81756,85803,58.866429138393,71.0810215763981,47.2279524025966,23.8530691738014
26,Departamento,Chuquisaca,,,Rural,2012,185818,93819,91999,82.4500317514988,88.7709312612584,76.0040870009457,12.7668442603127
26,Departamento,Chuquisaca,,,Rural,2024,190812,97558,93254,84.7226589522672,90.59123803276,78.5832243120939,12.0080137206662
27,Departamento,Chuquisaca,,,15 a 24 ,2001,44750,22531,22219,88.5519553072626,93.400204163153,83.6356271659391,9.76457699721392
27,Departamento,Chuquisaca,,,15 a 24 ,2012,48312,25657,22655,98.0046365292267,98.2616829715088,97.7135290222909,0.548153949217863
27,Departamento,Chuquisaca,,,15 a 24 ,2024,44740,23011,21729,98.8712561466249,98.9744035461301,98.7620231027659,0.212380443364225
28,Departamento,Chuquisaca,,,25 a 39 ,2001,47520,23092,24428,73.7100168350168,85.4321843062533,62.6289503848043,22.8032339214489
28,Departamento,Chuquisaca,,,25 a 39 ,2012,49869,25428,24441,92.8933806573222,95.8195689790782,89.84902418068,5.97054479839818
28,Departamento,Chuquisaca,,,25 a 39 ,2024,51461,26986,24475,97.2794932084491,97.9656117987104,96.5229826353422,1.44262916336827
29,Departamento,Chuquisaca,,,40 a 59 ,2001,46147,22622,23525,42.3342795848051,61.692158076209,23.7194473963868,37.9727106798222
29,Departamento,Chuquisaca,,,40 a 59 ,2012,51340,25812,25528,80.4012465913518,89.3731597706493,71.3295205264807,18.0436392441686
29,Departamento,Chuquisaca,,,40 a 59 ,2024,54193,28040,26153,86.2177772036979,91.9436519258203,80.0787672542347,11.8648846715856
30,Departamento,Chuquisaca,,,60 o más ,2001,29142,13511,15631,15.2563310685608,25.0536599807564,6.78779348730088,18.2658664934555
30,Departamento,Chuquisaca,,,60 o más ,2012,36297,16922,19375,50.2961677273604,62.8708190521215,39.3135483870968,23.5572706650247
30,Departamento,Chuquisaca,,,60 o más ,2024,40418,19521,20897,51.0688307189866,68.5723067465806,34.7179020912093,33.8544046553714
31,Provincia,Chuquisaca,Oropeza,,Oropeza,2001,151466,70780,80686,84.7781020162941,90.4930771404352,79.7647671219295,10.7283100185057
31,Provincia,Chuquisaca,Oropeza,,Oropeza,2012,195955,91822,104133,93.7159041616698,96.581429287099,91.1891523340344,5.3922769530646
31,Provincia,Chuquisaca,Oropeza,,Oropeza,2024,236161,111860,124301,94.9458208594984,97.6622563919185,92.5012670855424,5.16098930637611
32,Provincia,Chuquisaca,Oropeza,,15 a 24 ,2001,56299,27163,29136,97.0106040959875,98.5310900857784,95.5930807248764,2.938009360902
32,Provincia,Chuquisaca,Oropeza,,15 a 24 ,2012,65760,31963,33797,99.4069343065693,99.5588649375841,99.2632482172974,0.295616720286688
32,Provincia,Chuquisaca,Oropeza,,15 a 24 ,2024,64208,31827,32381,99.6604784450536,99.6669494454394,99.6541181557086,0.0128312897308263
33,Provincia,Chuquisaca,Oropeza,,25 a 39 ,2001,44900,21018,23882,91.2873051224944,95.9130269292987,87.2163135415794,8.69671338771926
33,Provincia,Chuquisaca,Oropeza,,25 a 39 ,2012,61101,29153,31948,97.455033469174,98.7651356635681,96.2595467634907,2.5055889000774
33,Provincia,Chuquisaca,Oropeza,,25 a 39 ,2024,77123,37308,39815,98.9626959532176,99.3915514098853,98.5608439030516,0.830707506833676
34,Provincia,Chuquisaca,Oropeza,,40 a 59 ,2001,33209,15343,17866,74.2419223704417,84.370722805188,65.5434904287474,18.8272323764407
34,Provincia,Chuquisaca,Oropeza,,40 a 59 ,2012,43989,20046,23943,91.5910795880788,96.1738002594034,87.7542496763146,8.41955058308881
34,Provincia,Chuquisaca,Oropeza,,40 a 59 ,2024,60359,27822,32537,94.9021686906675,98.069872762562,92.1935027814488,5.87636998111319
35,Provincia,Chuquisaca,Oropeza,,60 o más ,2001,17058,7256,9802,47.7840309532184,57.648842337376,40.4815343807386,17.1673079566373
35,Provincia,Chuquisaca,Oropeza,,60 o más ,2012,25105,10660,14445,73.4315873332006,82.4484052532833,66.7774316372447,15.6709736160386
35,Provincia,Chuquisaca,Oropeza,,60 o más ,2024,34471,14903,19568,77.253343390096,88.2909481312487,68.8470973017171,19.4438508295317
36,Provincia,Chuquisaca,Oropeza,,Urbana,2001,125009,57833,67176,90.6486732955227,95.2846990472568,86.6574371799452,8.62726186731155
36,Provincia,Chuquisaca,Oropeza,,Urbana,2012,165030,76475,88555,95.7965218445131,98.0764955867931,93.8275647902434,4.24893079654972
36,Provincia,Chuquisaca,Oropeza,,Urbana,2024,205180,96225,108955,96.3168924846476,98.4879189399844,94.3995227387454,4.08839620123905
37,Provincia,Chuquisaca,Oropeza,,15 a 24 ,2001,49483,23688,25795,97.8618919628964,99.016379601486,96.8017057569296,2.21467384455634
37,Provincia,Chuquisaca,Oropeza,,15 a 24 ,2012,58102,27950,30152,99.5766066572579,99.6851520572451,99.4759883258159,0.209163731429229
37,Provincia,Chuquisaca,Oropeza,,15 a 24 ,2024,57509,28396,29113,99.6974386617747,99.6865755740245,99.7080342115206,-0.0214586374961243
38,Provincia,Chuquisaca,Oropeza,,25 a 39 ,2001,37876,17572,20304,94.1150068645052,97.587070339176,91.1101260835304,6.47694425564562
38,Provincia,Chuquisaca,Oropeza,,25 a 39 ,2012,53012,25122,27890,98.0023390930355,99.1561181434599,96.9630692004303,2.19304894302965
38,Provincia,Chuquisaca,Oropeza,,25 a 39 ,2024,69221,33199,36022,99.1259877782754,99.5120334949848,98.7701959913386,0.741837503646167
39,Provincia,Chuquisaca,Oropeza,,40 a 59 ,2001,25541,11608,13933,84.5268391997181,92.1691936595451,78.1597645876696,14.0094290718756
39,Provincia,Chuquisaca,Oropeza,,40 a 59 ,2012,35076,15622,19454,94.0386589120766,97.5035206759698,91.2562969055207,6.24722377044908
39,Provincia,Chuquisaca,Oropeza,,40 a 59 ,2024,51151,23151,28000,95.8241285605365,98.639367629908,93.4964285714286,5.14293905847943
40,Provincia,Chuquisaca,Oropeza,,60 o más ,2001,12109,4965,7144,63.2422165331572,76.6163141993958,53.9473684210526,22.6689457783431
40,Provincia,Chuquisaca,Oropeza,,60 o más ,2012,18840,7781,11059,81.2048832271762,89.9627297262563,75.0429514422642,14.919778283992
40,Provincia,Chuquisaca,Oropeza,,60 o más ,2024,27299,11479,15820,82.9957141287227,92.2554229462497,76.2768647281922,15.9785582180575
41,Provincia,Chuquisaca,Oropeza,,Rural,2001,26457,12947,13510,57.0397248365272,69.0893643315054,45.4922279792746,23.5971363522308
41,Provincia,Chuquisaca,Oropeza,,Rural,2012,30925,15347,15578,82.6127728375101,89.1314263373949,76.1907818718706,12.9406444655243
41,Provincia,Chuquisaca,Oropeza,,Rural,2024,30981,15635,15346,85.8655304864272,92.5807483210745,79.0238498631565,13.556898457918
42,Provincia,Chuquisaca,Oropeza,,15 a 24 ,2001,6816,3475,3341,90.8303990610329,95.2230215827338,86.2615983238551,8.96142325887867
42,Provincia,Chuquisaca,Oropeza,,15 a 24 ,2012,7658,4013,3645,98.1196134761034,98.6792923000249,97.5034293552812,1.17586294474371
42,Provincia,Chuquisaca,Oropeza,,15 a 24 ,2024,6699,3431,3268,99.3431855500821,99.504517633343,99.1738066095471,0.330711023795914
43,Provincia,Chuquisaca,Oropeza,,25 a 39 ,2001,7024,3446,3578,76.0392938496583,87.3766686012769,65.1201788708776,22.2564897303993
43,Provincia,Chuquisaca,Oropeza,,25 a 39 ,2012,8089,4031,4058,93.8682160959327,96.3284544777971,91.4243469689502,4.90410750884686
43,Provincia,Chuquisaca,Oropeza,,25 a 39 ,2024,7902,4109,3793,97.5322703113136,98.4181065952787,96.5726337991036,1.84547279617505
44,Provincia,Chuquisaca,Oropeza,,40 a 59 ,2001,7668,3735,3933,39.9843505477308,60.1338688085676,20.8492245105517,39.2846442980159
44,Provincia,Chuquisaca,Oropeza,,40 a 59 ,2012,8913,4424,4489,81.9589363850555,91.4783001808318,72.5774114502116,18.9008887306202
44,Provincia,Chuquisaca,Oropeza,,40 a 59 ,2024,9208,4671,4537,89.7806255430061,95.2472703917791,84.152523694071,11.0947466977081
45,Provincia,Chuquisaca,Oropeza,,60 o más ,2001,4949,2291,2658,9.96160840573853,16.542994325622,4.28893905191874,12.2540552737033
45,Provincia,Chuquisaca,Oropeza,,60 o más ,2012,6265,2879,3386,50.0558659217877,62.139631816603,39.7814530419374,22.3581787746656
45,Provincia,Chuquisaca,Oropeza,,60 o más ,2024,7172,3424,3748,55.3959843837145,75.0,37.4866595517609,37.5133404482391
46,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Sucre,2001,136652,63554,73098,87.8984573954278,93.010668093275,83.4537196640127,9.55694842926231
46,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Sucre,2012,179731,83766,95965,94.7760820337059,97.3294654155624,92.547282863544,4.7821825520184
