DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA_Y_GRUPO_DE_EDAD,AÑO,Población_Total,Hombres,Mujeres,Tasa_Total,Brecha
Chuquisaca,,,Chuquisaca,2001,307121,146406,160715,73.0295225660245,16.4101412108753
Chuquisaca,,,Chuquisaca,2012,380533,184393,196140,89.000428346556,8.06526834091365
Chuquisaca,,,Chuquisaca,2024,439831,215162,224669,90.9481141620304,7.29276942725683
Chuquisaca,,,15 a 24 ,2001,99047,48558,50489,93.6464506749321,5.39810202738897
Chuquisaca,,,15 a 24 ,2012,115386,58034,57352,98.8828800721058,0.261078501689568
Chuquisaca,,,15 a 24 ,2024,113349,57068,56281,99.3480313015554,0.0602257436835743
Chuquisaca,,,25 a 39 ,2001,89692,42651,47041,83.2236988806137,14.7311840788857
Chuquisaca,,,25 a 39 ,2012,112242,55029,57213,95.6638335026104,3.6903873068452
Chuquisaca,,,25 a 39 ,2024,134622,67059,67563,98.3843651112002,0.913470039394966
Chuquisaca,,,40 a 59 ,2001,75195,35921,39274,58.3137176673981,27.7758445742057
Chuquisaca,,,40 a 59 ,2012,93524,44852,48672,86.2698344809888,12.1422958643793
Chuquisaca,,,40 a 59 ,2024,117320,56955,60365,91.1430276167746,7.69995418166327
Chuquisaca,,,60 o más ,2001,43187,19276,23911,30.1965869358835,17.9276263018974
Chuquisaca,,,60 o más ,2012,59381,26478,32903,61.5028376079891,19.250161437776
Chuquisaca,,,60 o más ,2024,74540,34080,40460,64.4378856989536,24.7456451511839
Chuquisaca,,,Urbana,2001,139562,64650,74912,90.033820094295,9.1411106794282
Chuquisaca,,,Urbana,2012,194715,90574,104141,95.2515214544334,4.58046211052852
Chuquisaca,,,Urbana,2024,249019,117604,131415,95.7183989976668,4.43633523466971
Chuquisaca,,,15 a 24 ,2001,54297,26027,28270,97.8451848168407,2.20523844731511
Chuquisaca,,,15 a 24 ,2012,67074,32377,34697,99.5154605361243,0.178400763060381
Chuquisaca,,,15 a 24 ,2024,68609,34057,34552,99.658936874171,-0.0165825433429063
Chuquisaca,,,25 a 39 ,2001,42172,19559,22613,93.9438489993361,6.56504265582427
Chuquisaca,,,25 a 39 ,2012,62373,29601,32772,97.8788899042855,2.18524371207734
Chuquisaca,,,25 a 39 ,2024,83161,40073,43088,99.0680727744977,0.70534961960297
Chuquisaca,,,40 a 59 ,2001,29048,13299,15749,83.6993941063068,14.8511388506145
Chuquisaca,,,40 a 59 ,2012,42184,19040,23144,93.4121941968519,6.44559128525245
Chuquisaca,,,40 a 59 ,2024,63127,28915,34212,95.3712357628273,5.16512151075818
Chuquisaca,,,60 o más ,2001,14045,5765,8280,61.1961552153791,24.1577946210474
Chuquisaca,,,60 o más ,2012,23084,9556,13528,79.1240686189569,16.2300308752985
Chuquisaca,,,60 o más ,2024,34122,14559,19563,80.2737236973214,17.5505145980789
Chuquisaca,,,Rural,2001,167559,81756,85803,58.866429138393,23.8530691738014
Chuquisaca,,,Rural,2012,185818,93819,91999,82.4500317514988,12.7668442603127
Chuquisaca,,,Rural,2024,190812,97558,93254,84.7226589522672,12.0080137206662
Chuquisaca,,,15 a 24 ,2001,44750,22531,22219,88.5519553072626,9.76457699721392
Chuquisaca,,,15 a 24 ,2012,48312,25657,22655,98.0046365292267,0.548153949217863
Chuquisaca,,,15 a 24 ,2024,44740,23011,21729,98.8712561466249,0.212380443364225
Chuquisaca,,,25 a 39 ,2001,47520,23092,24428,73.7100168350168,22.8032339214489
Chuquisaca,,,25 a 39 ,2012,49869,25428,24441,92.8933806573222,5.97054479839818
Chuquisaca,,,25 a 39 ,2024,51461,26986,24475,97.2794932084491,1.44262916336827
Chuquisaca,,,40 a 59 ,2001,46147,22622,23525,42.3342795848051,37.9727106798222
Chuquisaca,,,40 a 59 ,2012,51340,25812,25528,80.4012465913518,18.0436392441686
Chuquisaca,,,40 a 59 ,2024,54193,28040,26153,86.2177772036979,11.8648846715856
Chuquisaca,,,60 o más ,2001,29142,13511,15631,15.2563310685608,18.2658664934555
Chuquisaca,,,60 o más ,2012,36297,16922,19375,50.2961677273604,23.5572706650247
Chuquisaca,,,60 o más ,2024,40418,19521,20897,51.0688307189866,33.8544046553714
Chuquisaca,Oropeza,,Oropeza,2001,151466,70780,80686,84.7781020162941,10.7283100185057
Chuquisaca,Oropeza,,Oropeza,2012,195955,91822,104133,93.7159041616698,5.3922769530646
Chuquisaca,Oropeza,,Oropeza,2024,236161,111860,124301,94.9458208594984,5.16098930637611
Chuquisaca,Oropeza,,15 a 24 ,2001,56299,27163,29136,97.0106040959875,2.938009360902
Chuquisaca,Oropeza,,15 a 24 ,2012,65760,31963,33797,99.4069343065693,0.295616720286688
Chuquisaca,Oropeza,,15 a 24 ,2024,64208,31827,32381,99.6604784450536,0.0128312897308263
Chuquisaca,Oropeza,,25 a 39 ,2001,44900,21018,23882,91.2873051224944,8.69671338771926
Chuquisaca,Oropeza,,25 a 39 ,2012,61101,29153,31948,97.455033469174,2.5055889000774
Chuquisaca,Oropeza,,25 a 39 ,2024,77123,37308,39815,98.9626959532176,0.830707506833676
Chuquisaca,Oropeza,,40 a 59 ,2001,33209,15343,17866,74.2419223704417,18.8272323764407
Chuquisaca,Oropeza,,40 a 59 ,2012,43989,20046,23943,91.5910795880788,8.41955058308881
Chuquisaca,Oropeza,,40 a 59 ,2024,60359,27822,32537,94.9021686906675,5.87636998111319
Chuquisaca,Oropeza,,60 o más ,2001,17058,7256,9802,47.7840309532184,17.1673079566373
Chuquisaca,Oropeza,,60 o más ,2012,25105,10660,14445,73.4315873332006,15.6709736160386
Chuquisaca,Oropeza,,60 o más ,2024,34471,14903,19568,77.253343390096,19.4438508295317
Chuquisaca,Oropeza,,Urbana,2001,125009,57833,67176,90.6486732955227,8.62726186731155
Chuquisaca,Oropeza,,Urbana,2012,165030,76475,88555,95.7965218445131,4.24893079654972
Chuquisaca,Oropeza,,Urbana,2024,205180,96225,108955,96.3168924846476,4.08839620123905
Chuquisaca,Oropeza,,15 a 24 ,2001,49483,23688,25795,97.8618919628964,2.21467384455634
Chuquisaca,Oropeza,,15 a 24 ,2012,58102,27950,30152,99.5766066572579,0.209163731429229
Chuquisaca,Oropeza,,15 a 24 ,2024,57509,28396,29113,99.6974386617747,-0.0214586374961243
Chuquisaca,Oropeza,,25 a 39 ,2001,37876,17572,20304,94.1150068645052,6.47694425564562
Chuquisaca,Oropeza,,25 a 39 ,2012,53012,25122,27890,98.0023390930355,2.19304894302965
Chuquisaca,Oropeza,,25 a 39 ,2024,69221,33199,36022,99.1259877782754,0.741837503646167
Chuquisaca,Oropeza,,40 a 59 ,2001,25541,11608,13933,84.5268391997181,14.0094290718756
Chuquisaca,Oropeza,,40 a 59 ,2012,35076,15622,19454,94.0386589120766,6.24722377044908
Chuquisaca,Oropeza,,40 a 59 ,2024,51151,23151,28000,95.8241285605365,5.14293905847943
Chuquisaca,Oropeza,,60 o más ,2001,12109,4965,7144,63.2422165331572,22.6689457783431
Chuquisaca,Oropeza,,60 o más ,2012,18840,7781,11059,81.2048832271762,14.919778283992
Chuquisaca,Oropeza,,60 o más ,2024,27299,11479,15820,82.9957141287227,15.9785582180575
Chuquisaca,Oropeza,,Rural,2001,26457,12947,13510,57.0397248365272,23.5971363522308
Chuquisaca,Oropeza,,Rural,2012,30925,15347,15578,82.6127728375101,12.9406444655243
Chuquisaca,Oropeza,,Rural,2024,30981,15635,15346,85.8655304864272,13.556898457918
Chuquisaca,Oropeza,,15 a 24 ,2001,6816,3475,3341,90.8303990610329,8.96142325887867
Chuquisaca,Oropeza,,15 a 24 ,2012,7658,4013,3645,98.1196134761034,1.17586294474371
Chuquisaca,Oropeza,,15 a 24 ,2024,6699,3431,3268,99.3431855500821,0.330711023795914
Chuquisaca,Oropeza,,25 a 39 ,2001,7024,3446,3578,76.0392938496583,22.2564897303993
Chuquisaca,Oropeza,,25 a 39 ,2012,8089,4031,4058,93.8682160959327,4.90410750884686
Chuquisaca,Oropeza,,25 a 39 ,2024,7902,4109,3793,97.5322703113136,1.84547279617505
Chuquisaca,Oropeza,,40 a 59 ,2001,7668,3735,3933,39.9843505477308,39.2846442980159
Chuquisaca,Oropeza,,40 a 59 ,2012,8913,4424,4489,81.9589363850555,18.9008887306202
Chuquisaca,Oropeza,,40 a 59 ,2024,9208,4671,4537,89.7806255430061,11.0947466977081
Chuquisaca,Oropeza,,60 o más ,2001,4949,2291,2658,9.96160840573853,12.2540552737033
Chuquisaca,Oropeza,,60 o más ,2012,6265,2879,3386,50.0558659217877,22.3581787746656
Chuquisaca,Oropeza,,60 o más ,2024,7172,3424,3748,55.3959843837145,37.5133404482391
Chuquisaca,Oropeza,Sucre,Sucre,2001,136652,63554,73098,87.8984573954278,9.55694842926231
Chuquisaca,Oropeza,Sucre,Sucre,2012,179731,83766,95965,94.7760820337059,4.7821825520184
Chuquisaca,Oropeza,Sucre,Sucre,2024,220153,103787,116366,95.6671042411414,4.61000473007078
Chuquisaca,Oropeza,Sucre,15 a 24 ,2001,52451,25229,27222,97.6111036967837,2.37283466766731
Chuquisaca,Oropeza,Sucre,15 a 24 ,2012,61785,29860,31925,99.4966415796715,0.228808309831152
Chuquisaca,Oropeza,Sucre,15 a 24 ,2024,60535,29964,30571,99.684480052862,-0.00963244146549869
Chuquisaca,Oropeza,Sucre,25 a 39 ,2001,40973,19125,21848,92.8831181509775,7.32597602448767
Chuquisaca,Oropeza,Sucre,25 a 39 ,2012,56837,27047,29790,97.8376761616553,2.27031748210781
Chuquisaca,Oropeza,Sucre,25 a 39 ,2024,73184,35275,37909,99.0694687363358,0.773000149057012
Chuquisaca,Oropeza,Sucre,40 a 59 ,2001,28968,13263,15705,79.3703396851698,16.328574491186
Chuquisaca,Oropeza,Sucre,40 a 59 ,2012,39329,17723,21606,92.8551450583539,7.29512093364284
Chuquisaca,Oropeza,Sucre,40 a 59 ,2024,55785,25496,30289,95.446804696603,5.49639767178316
Chuquisaca,Oropeza,Sucre,60 o más ,2001,14260,5937,8323,55.1753155680224,19.8327057436011
Chuquisaca,Oropeza,Sucre,60 o más ,2012,21780,9136,12644,76.8640955004591,15.2853523209475
Chuquisaca,Oropeza,Sucre,60 o más ,2024,30649,13052,17597,80.0091356977389,17.6708194259912
Chuquisaca,Oropeza,Sucre,Urbana,2001,125009,57833,67176,90.6486732955227,8.62726186731155
Chuquisaca,Oropeza,Sucre,Urbana,2012,165030,76475,88555,95.7965218445131,4.24893079654972
Chuquisaca,Oropeza,Sucre,Urbana,2024,205180,96225,108955,96.3168924846476,4.08839620123905
Chuquisaca,Oropeza,Sucre,15 a 24 ,2001,49483,23688,25795,97.8618919628964,2.21467384455634
Chuquisaca,Oropeza,Sucre,15 a 24 ,2012,58102,27950,30152,99.5766066572579,0.209163731429229
Chuquisaca,Oropeza,Sucre,15 a 24 ,2024,57509,28396,29113,99.6974386617747,-0.0214586374961243
Chuquisaca,Oropeza,Sucre,25 a 39 ,2001,37876,17572,20304,94.1150068645052,6.47694425564562
Chuquisaca,Oropeza,Sucre,25 a 39 ,2012,53012,25122,27890,98.0023390930355,2.19304894302965
Chuquisaca,Oropeza,Sucre,25 a 39 ,2024,69221,33199,36022,99.1259877782754,0.741837503646167
Chuquisaca,Oropeza,Sucre,40 a 59 ,2001,25541,11608,13933,84.5268391997181,14.0094290718756
Chuquisaca,Oropeza,Sucre,40 a 59 ,2012,35076,15622,19454,94.0386589120766,6.24722377044908
Chuquisaca,Oropeza,Sucre,40 a 59 ,2024,51151,23151,28000,95.8241285605365,5.14293905847943
Chuquisaca,Oropeza,Sucre,60 o más ,2001,12109,4965,7144,63.2422165331572,22.6689457783431
Chuquisaca,Oropeza,Sucre,60 o más ,2012,18840,7781,11059,81.2048832271762,14.919778283992
Chuquisaca,Oropeza,Sucre,60 o más ,2024,27299,11479,15820,82.9957141287227,15.9785582180575
Chuquisaca,Oropeza,Sucre,Rural,2001,11643,5721,5922,58.3698359529331,22.9102612940433
Chuquisaca,Oropeza,Sucre,Rural,2012,14701,7291,7410,83.3208625263588,12.2469330220776
Chuquisaca,Oropeza,Sucre,Rural,2024,14973,7562,7411,86.7628397782676,13.0379667871133
Chuquisaca,Oropeza,Sucre,15 a 24 ,2001,2968,1541,1427,93.4299191374663,5.70180085829649
Chuquisaca,Oropeza,Sucre,15 a 24 ,2012,3683,1910,1773,98.2351344013033,0.729647445835298
Chuquisaca,Oropeza,Sucre,15 a 24 ,2024,3026,1568,1458,99.438202247191,0.239442484812855
Chuquisaca,Oropeza,Sucre,25 a 39 ,2001,3097,1553,1544,77.8172424927349,19.9547341098125
Chuquisaca,Oropeza,Sucre,25 a 39 ,2012,3825,1925,1900,95.5555555555556,3.61380724538618
Chuquisaca,Oropeza,Sucre,25 a 39 ,2024,3963,2076,1887,98.0822609134494,1.49846378170076
Chuquisaca,Oropeza,Sucre,40 a 59 ,2001,3427,1655,1772,40.9395973154363,37.9140098067966
Chuquisaca,Oropeza,Sucre,40 a 59 ,2012,4253,2101,2152,83.0942863860804,17.7960264982687
Chuquisaca,Oropeza,Sucre,40 a 59 ,2024,4634,2345,2289,91.2818299525248,10.3114832130305
Chuquisaca,Oropeza,Sucre,60 o más ,2001,2151,972,1179,9.7629009762901,12.032324945811
Chuquisaca,Oropeza,Sucre,60 o más ,2012,2940,1355,1585,49.047619047619,23.0533018263937
Chuquisaca,Oropeza,Sucre,60 o más ,2024,3350,1573,1777,55.6716417910448,36.1082361645108
Chuquisaca,Oropeza,Yotala,Yotala,2001,5269,2530,2739,65.9138356424369,22.1551819927933
Chuquisaca,Oropeza,Yotala,Yotala,2012,6398,3135,3263,87.3397936855267,11.8145110638296
Chuquisaca,Oropeza,Yotala,Yotala,2024,6842,3388,3454,89.5352236188249,11.3162604621783
Chuquisaca,Oropeza,Yotala,15 a 24 ,2001,1453,773,680,96.7653131452168,3.04181569134769
Chuquisaca,Oropeza,Yotala,15 a 24 ,2012,1764,948,816,99.4897959183674,-0.0372300819061877
Chuquisaca,Oropeza,Yotala,15 a 24 ,2024,1493,760,733,99.330207635633,0.292238098657279
Chuquisaca,Oropeza,Yotala,25 a 39 ,2001,1358,636,722,87.260677466863,13.6104287531142
Chuquisaca,Oropeza,Yotala,25 a 39 ,2012,1607,790,817,97.3242065961419,2.52436360255955
Chuquisaca,Oropeza,Yotala,25 a 39 ,2024,1883,941,942,98.4599044078598,0.954285881893725
Chuquisaca,Oropeza,Yotala,40 a 59 ,2001,1491,701,790,50.8383635144199,42.9762184221456
Chuquisaca,Oropeza,Yotala,40 a 59 ,2012,1746,850,896,86.5979381443299,16.2581407563025
Chuquisaca,Oropeza,Yotala,40 a 59 ,2024,1899,963,936,94.102159031069,6.06677849668505
Chuquisaca,Oropeza,Yotala,60 o más ,2001,967,420,547,12.82316442606,12.266475145817
Chuquisaca,Oropeza,Yotala,60 o más ,2012,1281,547,734,59.0944574551132,23.850430139129
Chuquisaca,Oropeza,Yotala,60 o más ,2024,1567,724,843,63.9438417358009,36.4698229815903
Chuquisaca,Oropeza,Yotala,Rural,2001,5269,2530,2739,65.9138356424369,22.1551819927933
Chuquisaca,Oropeza,Yotala,Rural,2012,6398,3135,3263,87.3397936855267,11.8145110638296
Chuquisaca,Oropeza,Yotala,Rural,2024,6842,3388,3454,89.5352236188249,11.3162604621783
Chuquisaca,Oropeza,Yotala,15 a 24 ,2001,1453,773,680,96.7653131452168,3.04181569134769
Chuquisaca,Oropeza,Yotala,15 a 24 ,2012,1764,948,816,99.4897959183674,-0.0372300819061877
Chuquisaca,Oropeza,Yotala,15 a 24 ,2024,1493,760,733,99.330207635633,0.292238098657279
Chuquisaca,Oropeza,Yotala,25 a 39 ,2001,1358,636,722,87.260677466863,13.6104287531142
Chuquisaca,Oropeza,Yotala,25 a 39 ,2012,1607,790,817,97.3242065961419,2.52436360255955
Chuquisaca,Oropeza,Yotala,25 a 39 ,2024,1883,941,942,98.4599044078598,0.954285881893725
Chuquisaca,Oropeza,Yotala,40 a 59 ,2001,1491,701,790,50.8383635144199,42.9762184221456
Chuquisaca,Oropeza,Yotala,40 a 59 ,2012,1746,850,896,86.5979381443299,16.2581407563025
Chuquisaca,Oropeza,Yotala,40 a 59 ,2024,1899,963,936,94.102159031069,6.06677849668505
Chuquisaca,Oropeza,Yotala,60 o más ,2001,967,420,547,12.82316442606,12.266475145817
Chuquisaca,Oropeza,Yotala,60 o más ,2012,1281,547,734,59.0944574551132,23.850430139129
Chuquisaca,Oropeza,Yotala,60 o más ,2024,1567,724,843,63.9438417358009,36.4698229815903
Chuquisaca,Oropeza,Poroma,Poroma,2001,9545,4696,4849,50.5185961236249,25.4710484924094
Chuquisaca,Oropeza,Poroma,Poroma,2012,9826,4921,4905,78.4754732342764,14.8676136990961
Chuquisaca,Oropeza,Poroma,Poroma,2024,9166,4685,4481,81.6604843988654,16.2946218791211
Chuquisaca,Oropeza,Poroma,15 a 24 ,2001,2395,1161,1234,84.0083507306889,15.4904744554588
Chuquisaca,Oropeza,Poroma,15 a 24 ,2012,2211,1155,1056,96.8340117593849,2.8219696969697
Chuquisaca,Oropeza,Poroma,15 a 24 ,2024,2180,1103,1077,99.2201834862385,0.477384629241939
Chuquisaca,Oropeza,Poroma,25 a 39 ,2001,2569,1257,1312,67.9641884001557,30.0161170615286
Chuquisaca,Oropeza,Poroma,25 a 39 ,2012,2657,1316,1341,89.348889725254,8.15557504833529
Chuquisaca,Oropeza,Poroma,25 a 39 ,2024,2056,1092,964,95.6225680933852,3.47681364278876
Chuquisaca,Oropeza,Poroma,40 a 59 ,2001,2750,1379,1371,32.9090909090909,39.8815937086939
Chuquisaca,Oropeza,Poroma,40 a 59 ,2012,2914,1473,1441,77.522306108442,22.3906797016668
Chuquisaca,Oropeza,Poroma,40 a 59 ,2024,2675,1363,1312,84.1121495327103,16.0883005565199
Chuquisaca,Oropeza,Poroma,60 o más ,2001,1831,899,932,8.68377935554342,12.878639594781
Chuquisaca,Oropeza,Poroma,60 o más ,2012,2044,977,1067,45.8414872798435,21.593463148191
